"","번호","계정이름","작성일","내용"
"1774",1774,"kiminhye0","10/28/2012","좌파 정권에서 북한에 지원해준 70억 달러의 돈은 북한주민에게 들어가기는커녕 , 김정일 일가와 한줌 집권세력의 호화사치와 배를 불리는데 쓰였다"
"1775",1775,"return_to_earth","10/28/2012","국방부가 종북세력 실체에 대해 군인대상 교육을 하는데 말이많군요,, 군대는 엄연히 일반집단과 다른 특수집단,,그것도 주적인 북한에 대항해서 나라의 호위할 책임을 지고 있습니다,,소소한 적이라도 대비를 하도록 해야죠"
"1776",1776,"skantlrp","10/28/2012","요즘 김정일-김정은 측근 자제들의 모임인 '봉화조'가 기쁨조를 옆에 끼고 필로폰 밤샘 파티에 빠져있다는군요. 북한 상류층들이 기아에 허덕이는 주민들을 외면한 채 퇴폐향락에 놀아나고 있는데도 종북세력은 그런 북한이 더 믿음이 간다니 기가 찰 노릇이네요."
"1777",1777,"subakjoo9","10/28/2012","전교조는 북한의 입장에서 문제를 보거나 대한민국을 나무라는 입장을 견지하고 있는 것 같습니다. 전교조 핵심 조직원과 북한의 관계가 의심스럽습니다..."
"1778",1778,"zmfpfm","10/28/2012","SNS상의 반인륜적, 반인권적, 좌파성향의 막말이 과거의 행적이라고 지워질수 있을까요. 정치적인 표계산 논리에 의해 보직에서 물러나지만 그에게선 반성의 기미가 보이지 않으며 안타깝게도 정치적 공세로만 여기네요. ㅉㅉ."
"1779",1779,"ajflzk","10/29/2012","종북좌파세력이 되는 것은 매우간단하다. 대한민국이 망하기만을 바라면 된다 환경과 평화라는 메시지를 들고,,, 제주해군기지 반드시 건설해야한다"
"1780",1780,"ajflzk","10/29/2012","청소년 3명중 1명이 6.25동란은 남침이라는 사실을 모른다고 한다. 좌파정부 10년을 거치면서 안보교육 축소, 친북적 역사관 주입 등으로 학생들은 안보의식이 희미해져 누가 적인지도 모르고 있다"
"1781",1781,"iikogilldong","10/29/2012","대놓코 막말하는종북좌파들 때문에 대한민국 안보가 위험 합니다. 심지어 국회의사당에까지 이런 종북이들이 많이 침투해있는데 이걸 그냥 둬선 안되죠. 종북간첩국회의원 척결단이라도 만들어야 할까봐요"
"1782",1782,"kiminhye0","10/29/2012","좌파 정권에서 북한에 지원해준 70억 달러의 돈은 북한주민에게 들어가기는커녕 , 김정일 일가와 한줌 집권세력의 호화사치와 배를 불리는데 쓰였다"
"1783",1783,"kiminhye0","10/29/2012","햇볕이라는 당근은 결국 북한 김정일 체제유지를 더 확고하게 만든 정권연장 수단에 악용되었을 뿐 우리에게 평화를 가져다 주지 못했다. 더 이상은 좌파정권때처럼 북한 의도에 끌려다녀서는 안된다"
"1784",1784,"kiminhye0","10/29/2012","평통사를 비롯하여 민노당에 침투한 친북세력과 민노총과 전교조, 한총련과 범민련, '진보연대'등은 북한의 지령에 의해 대한민국을 파괴해 온 반역세력이다"
"1785",1785,"kiminhye0","10/29/2012","진정한 진보주의자라면 폐쇄적이요 반인간적인 북한에게 '당신들 이렇게 살면 안 된다'고 따끔하게 말해줘야 한다."
"1786",1786,"kiminhye0","10/29/2012","친북종북 세력들은 정부의 대북정책을 비난하기 앞서 북한 핵무장에 대해 국민 들의 눈과 귀를 막고 북한의 핵개발을 도운 책임에 대해 국민 앞에 사죄해야 함이 마땅하다"
"1787",1787,"kiminhye0","10/29/2012","북한의 무력도발을 막는 최선의 방법은 여론주도층이 국가안보에 대한 경각심을 심고, 남남갈등을 일으키는 친북좌파들에 대한 경계를 늦추지 않으면서 이들이 우리사회에 발을 붙이지 못하도록 경계하는 것이다"
"1788",1788,"kiminhye0","10/29/2012","2000년 이후 대법원에 의해 이적단체로 판결받은 단체는 남북공동선언실천연대, 한국청년단체협의회, 범민련 남측본부, 한총련, 진보와 통일로 가는 서울민주노동 자회(서민노회) 등 15개나 된다"
"1789",1789,"nudlenudle","10/29/2012","전교조나 좌편향적 종북인사들이 주장하는 인권은  자기들 입맛에 맞추는 너무 편향적인 인권 입니다?그들은 북한주민들의 인권은 완죤 나몰라라하는 거짓인권주의자들 입니다?"
"1790",1790,"shore0987","10/29/2012","이번에 야당의 비례대표들은 어찌 한결같이 그렇고그런놈들만 뽑아놨는가!! 종북의 꽃 이라는 년, 북한이 더좋다는 놈, 당을 뽀개먹는 종북이 개새끼들 한결같이 똑같구나, 그들의 공통점은 대한민국보다는 북한을 더 좋아하는듯 하구~~ 세비는 공작금이냐??"
"1791",1791,"taesan4","10/29/2012","김광진 의원 트윗글이 점입가경이네요....특히 여성비하 발언이 잦고, 여친 사귀면 엄마가 아파트 사준다는 트윗이나 자랑스러운 듯 올린 유럽여행기 등을 보면 전형적인 강남좌파 같단 생각도 들고..."
"1792",1792,"taesan4","10/29/2012","@###yungdad 이종걸 의원 아바타 인가요? 게다가 박근혜씨가 연상으로 아는데? 민주주의 한다면서 여성비하 발언을 넘 쉽게하는군요?"
"1793",1793,"vvip31","10/29/2012","김정은 3대세습후 북한 고위급 인사가 31명이 숙청됐다. 체제위협 세력 제거 및 충복심기를 통해 필요없는 자들은 공포감 조성을 위해 피의 숙청이 진행한 것이다. 국내의 종북세력도 북한 가면 자신들이 우대 받을 것 같겠지만 똑같은 꼴 될것이다."
"1794",1794,"ajflzk","10/30/2012","세계 제일의 복지 국가 스웨덴은 정권욕에 눈이 먼 좌파정권의 허울좋은 무상의료와 각종 복지제도로 결국 재정은 파탄나고 힘없고 돈없는 서민들만 고통받고 죽어가는 불행한 선례를 남긴 무상의료 제도의 좋은 본보기가 되고 있다"
"1795",1795,"jogisic","10/30/2012","좌파들이 미국을 지독히 싫어하는 것은 북한식으로 사고하기 때문이다. 김일성이 6.25 즉 그들이 통일전쟁이란 것을 일으켰는데 미국의 개입으로 좌절됐고 지금도 미국 때문에 북한이 남한을 접수하지 못한다고 생각하기 때문이다"
"1796",1796,"kiminhye0","10/30/2012","종북좌익세력들은 현정부와 자본주의를 타도해야 할 적(敵)으로 간주하고 있습니다. 반면 북한 김정일정권에 대해서는 매우 우호적입니다. 이는 대한민국의 자유 민주주의체제와 국가정통성을 정면으로 부정하는 시각인 것입니다."
"1797",1797,"kiminhye0","10/30/2012","9.11때 미국은 정치인, 군인, 민간인, 단체 등 온국민이 하나가되어 움직이는 강한 면모를 보였다. 그러나 우리는 천안함,연평도 사건이 터졌을때 모든 좌파인사와 좌파단체들이 약속이라도 한 듯 북한편을 들었다"
"1798",1798,"kiminhye0","10/30/2012","전교조에 세뇌된 청소년들은 이유도 모르고 미국은 나쁜 나라고 북한은 우리 민족이니까 도와줘야 한다고 생각하게 된다. 자신의 의지와 무관하게 사상이 선동된 것이다. 이는 대한민국의 잠재적인 위협이다."
"1799",1799,"kiminhye0","10/30/2012","친북(親北), 종북(從北) 세력들은 좌파 정권 10년 동안 햇볕정책의 산물인 안보 불감증을 자양분 삼아 뿌리내린 뒤, 이제는 대한민국 체제 붕괴를 노리고 있다."
"1800",1800,"kiminhye0","10/30/2012","종북세력들은 의식화 단계는 물론 조직화 단계를 지나 체제전복까지 노릴 정도로 커졌다는게 전문가들 분석이다. 재야에서 활동하던 친북좌파 세력들은 615 선언 을 계기로 제도권에 안착해 국회와 청와대 핵심부까지 진출했다"
"1801",1801,"kiminhye0","10/30/2012","내부의 적이라고 할 수 있는 우리사회의 친북,종북세력들은 좌파정권서 급성장 해 권력 중심까지 진출했다. 핵심세력 3만명 추종세력은 50만명이 넘는 것으로 추산되고 있다"
"1802",1802,"kiminhye0","10/30/2012","2000년 이후 대법원에 의해 이적단체로 판결받은 단체는 남북공동선언실천연대, 한국청년단체협의회, 범민련 남측본부, 한총련, 진보와 통일로 가는 서울민주노동 자회(서민노회) 등 15개나 된다"
"1803",1803,"lakellymom","10/30/2012","리설주가 들고 나타난 가방은 크리스찬 디올 제품으로 북한 근로자의 1년 치 봉급에 해당한다고 한다. 또 노동당 간부 자녀나 밀무역을 통해 여유가 있는 여성들이 중국에서 성형수술을 받고 있다.지배층들만 잘먹고 잘사는 북한을 좋아하는 종북들이 한심할뿐"
"1804",1804,"modular2","10/30/2012","북한 김정은 부인 리설주의 임신이 마치 시청자들의 사랑을 받는 남한 연예인의 임신인냥 보도하는 우리 좌파언론 문제이군요 '북 김정은 아빠되나...' 북한 주민들의 고통과 아품에 대한 측은한 마음이 없는지..."
"1805",1805,"shore0987","10/30/2012","이제 곧 북한이 연평도 포격전을 일으킨지 2주년이 된다, 종북좌파들은 그때도 그랬다, 연평도 포격전도 우리가 유발했다고, 그런 생각을 가지고 있는 인간들하고 대화가 될까요?? 종북좌빨들은 생각이 우리하고 다르기 때문에 대화가 전혀 안될듯 합니다"
"1806",1806,"zmfpfm","10/30/2012","연말 대선을 앞두고 대선 후보진영과의 노골적인 정책 거래를 시도하며 대권 줄서기를 하는 정치노조가 활개를 치고 있네요. 눈앞의 대선표를 위해 정치노조의 무리한 요구를 수용함으로써 많은 국민의 피해가 갈수 있음을 알아야겠죠."
"1807",1807,"ajflzk","10/31/2012","좌파세력들은 한국내의 민주화문제나, 인권문제를 들먹이며 정부에 대해서는 온갖 비방중상을 행하면서도, 북한 김정일 정권의 반민족성이나 북한체제의 민주화문제, 3자 세습, 인권 등에 대해선 아무런 언급을 하지 않고 도외시하고 있습니다"
"1808",1808,"dahada7","10/31/2012","북한이라는 실존 위협보다 더 위험한 종북세력이란 보이지 않는 내부의 적에 대한 우리군의 대응을 군의 정치적 중립성 훼손이나 지나치게 정치적으로 확대 해석하는 것이 오히려 정략적인 의도로 밖엔 안 보입니다."
"1809",1809,"ddombang1","10/31/2012","북한을 추종하는 종북세력이 호국훈련을 반대하는 것은 북한의 연평도, 천안함 폭침, NLL 무력화 등의 실상은 외면한 채 영토주권을 포기하는 비겁한 평화는 전쟁을 부릅니다. 동영상 -&gt;http://t.co/MYBP0160"
"1810",1810,"ddombang1","10/31/2012","최근 NLL 무력화도 그렇고 우리군의 호국훈련에 대해 맹비난하는 북한의 행태와 이를 따라하는 종북들!! 북한 독재정권 입장에서 자신들 하수인 역할을 하는 종북세력들 때문에 든든할 것이다. 그래서 우리가 종북들을 의심하고 척결해야 하는 것이다."
"1811",1811,"ddombang1","10/31/2012","최근엔 우리군에서 실시하는 방어적 성격의 호국훈련까지 생 트집잡는 북한 따라기도 모자라 중단하라고 시위까지 벌이는 범민련 같은 종북단체들 우리사회에 퍼진 친북,종북행태가 어느 정도 위험수위인지 단적으로 보여주고 있다."
"1812",1812,"falltoland","10/31/2012","요즘은 호국훈련 기간이다. 휴전상태의 국가가 만일의 사태를 대비해 군사훈련을 하는 것은 지극히 당연한 일이다. 이런 훈련 중단을 외치는 단체와 세력들.. 스스로 종북임을 증명하고 있다."
"1813",1813,"gehsteig","10/31/2012","귀신잡는 해병대 출신이 김정일 생일 축하 이메일을 보내다니. 김정일 잡는 해병을 해도 모자랄 판에. 우리 주변에 부지불식간에 
침투한 종북 실상을 보여주는 동시에 군 장병 대상 종북교육이 필요한 이유다."
"1814",1814,"gilnam_88","10/31/2012","주민을 굶어 죽어도 방치하고 인권억압이 자행되는 곳 북한체제를 찬양하고 맹종하는 종북세력들. 대한민국에서 자유롭게 잘먹고 생활하면서 비판의 날을 세우며 전복하려 드는 건 ?미? 무개념 종북세력들 척결해 버려."
"1815",1815,"jogisic","10/31/2012","북한이 방송을 통해 우리의 호국훈련을 비난하자 범민련은 게시판에  ""연평도 포격을 부르는 군사훈련""이란 글을 올려 북한에 동조하면서 북한이 도발할 정당성을 마련해주었다. 종북좌파들의 북한과의 짝짜꿍이 너무 심하다. 이런 놈들 왜 가만 두는지...."
"1816",1816,"kiminhye0","10/31/2012","사이버 공간의 친북,종북 행태도 위험 수위를 넘어섰다. 각종 사이트와 트위터, 유튜브 등을 통해 김일성 주체사상과 김정일 선군정치, 핵무장과 미군 철수를 지지 하는 글을 쉽게 찾아볼 수 있다."
"1817",1817,"kiminhye0","10/31/2012","좌파 정권에서 북한에 지원해준 70억 달러의 돈은 북한주민에게 들어가기는커녕 , 김정일 일가와 한줌 집권세력의 호화사치와 배를 불리는데 쓰였다"
"1818",1818,"kiminhye0","10/31/2012","북한 주민들을 굶기는 것은 군량미를 틀어쥐고 북한 지도층만 배불리 먹이는 김정일과 그런 김정일을 칭송하는 남한 친북좌파이다"
"1819",1819,"kiminhye0","10/31/2012","북한의 무력도발을 막는 최선의 방법은 여론주도층이 국가안보에 대한 경각심을 심고, 남남갈등을 일으키는 친북좌파들에 대한 경계를 늦추지 않으면서 이들이 우리사회에 발을 붙이지 못하도록 경계하는 것이다"
"1820",1820,"kiminhye0","10/31/2012","왜곡된 선동에 의해 광우 폭동에 참여했던 사람들 대부분은 폭동을 주도했던 진보연대가 북한식 사회주의를 중심으로 연방제 통일을 하는 것을 공식적인 목표로 삼고 활동하는 단체라는 것은 모르고 있었다"
"1821",1821,"kiminhye0","10/31/2012","좌파 정권 10년의 비정상적이고 굴종적인 남북관계는 반드시 원래의 위치로 환원시켜야 한다. 미국을 비롯한 국제사회와의 적극적 공조를 통해 불량국가 북한을 정상적인 국가로 국제사회에 복귀시켜야 한다"
"1822",1822,"kiminhye0","10/31/2012","친북좌파는 대한민국에게 대북 쌀지원을 강요하지 말고, 33억짜리 애완용 돌고래를 단박에 사들이는 '통 큰 지도자(?)' 김정일에게 북한 주민들 좀 먹여살리라고 압박하길 촉구한다"
"1823",1823,"kiminhye0","10/31/2012","반정부 시위는 종북좌익들의 주특기인데 유독 미국과 연관된 일에서 강하다. 반면 금강산 관광객 피살, 천안함, 연평도 등 북한에 의해 우리 국민이 죽거나 다친 사건에 대해 저들은 단 한 번도 시위를 안했다"
"1824",1824,"kiminhye0","10/31/2012","과거 종북좌익세력들은 민주화운동세력으로 위장했으나, 이제는 그들의 활동이 공산주의혁명운동이라는 사실을 숨기지 않는다. 이들의 사상적 근간은 주체사상과 이미 폐기처분된 맑스레닌주의이며 그 뒤에는 바로 북한이 있다"
"1825",1825,"modular2","10/31/2012","대법원이 김정일 생일축하 편지를 보낸 행위에 대해 '국보법 위반'이라는 판결을 했다. 이번 판례로 자유민주주의 기본 질서를 위태롭게 하고 있는 종북세력들에 대한 척결이 반드시 필요하다는 상징적인 판결이네요."
"1826",1826,"nudlenudle","10/31/2012","북한은 지금도 '전 한반도에서의 사회주의 혁명의 완수'를 목표로 삼고 전술적 변화만을 하면서 기회를 엿보고 있는데도 우리 사회는 북한의 이러한 것을 지적하는 사람을 수구, 반통일세력이라고 매도합니다. 그들은 친북이 곧 진보라고 우기고있는거죠!"
"1827",1827,"nudlenudle","10/31/2012","대통령 증말 대단혀요ㆍ정말 정말 대단혀요. 재임기간중 전무후무한 업적. 질과 양적 측면에서 너무너무 많은 업적을 세우시고 계시는듯.. 세계적인 국제기구를 NLL에 근접한 송도에 유치하다니? http://t.co/vEFbCDnF"
"1828",1828,"patience141","10/31/2012","힘이 있어야 대한민국도, 한반도의 평화도 지킬 수 있다. 하지만 종북단체 주장대로 정례적인 군사훈련인 호국훈련도 하지 말라는 것은 양보와 화해만으로 평화가 이어질 수 있다는 순진함 아닐까요? 앞에선 미소짓다 뒷통수치는 북한을 생각한다면..."
"1829",1829,"patience141","10/31/2012","종북단체들이 우리 호국훈련에 대해 북한을 자극하고 남북관계를 경색시킨다며 반대에 나서고 있다. 자국의 영토와 국민들을 보호하기 위해 훈련을 하고 방어체제를 구축하는데 있어 왜 사사건건 북한의 눈치를 봐야한다는 것 인지 이유를 알 수 없다."
"1830",1830,"sarangni2","10/31/2012","대법원은 북한에 각종 자료를 제공하고 이메일을 통해 김정일 체제를 찬양하고 따르겠다는 의지를 밝힌것은 명백하게 국보법을 위반한 것으로 자유민주적 기본질서를 위태롭게하는 행위라고 판결했다. 이번 판결로 종북세력의 실체가 또 한번 드러났다"
"1831",1831,"sarangni2","10/31/2012","e메일을 통해 김정일 체제를 찬양하고 김정일에게 생일 축하 편지를 보내는 것도국가보안법 위반이라고 대법원 확정이 나왔다. 이번 판례로 자유민주주의 기본 질서를 위태롭게 하는 종북주의를 척결할 수 있는 기회가 되었으면 좋겠네요."
"1832",1832,"seomin8","10/31/2012","북한이 호국훈련을 '평화 파괴행위'라며 연일 시비거니 종북단체들도 가만히 있지를 못하는 군요. 종북단체들이 천안함, 연평도 등 북한의 도발은 용인하면서 이에 대비하려는 정부와 우리 군의 노력은 비난한다면 우리 평화는 지킬 수 없습니다."
"1833",1833,"shore0987","10/31/2012","종북당에서 종북이 국개의원을 포기못한이유가 서서히 나오기 시작하는구나. 종북국개의원이 서울 보안담당 경찰의 인적사항을 넘기란다. 명목은 국감이고? 다음 국감때에는 전국 경찰의 보안담당 인적사항을 달라구 하게 생겼구나? 이유는? 북에 넘겨줄라고?"
"1834",1834,"shore0987","10/31/2012","""때려잡자 공산당, 물리치자 공산당"" 옛날에 이런 표어가 있었습니다, 만고의 진리인듯 합니다, 지금은 표어를 바꿔서 ""때려잡자 종북이, 물리치자 빨갱이""로 바꿔야 할듯 하지요!!! 대한민국의 암적인 존재 종북세력을 때려 잡아야 합니다"
"1835",1835,"taesan4","10/31/2012","노크 귀순 북한병사 라면대접 놓고 좌파끼리 설전중...정청래 등은 군기강 해이 질타를 한 반면, 한인섭 서울법대 교수.백찬홍 등은 따듯한 민족애적 정을 우선시...둘다 핵심과는 거리가머네...근데 정청래는 군대는 갔다왔나?"
"1836",1836,"taesan4","10/31/2012","요즘 욕설막말 원조 김용민이 조용한것은 새로운 강자 김광진이 나타났기 때문에 욕 내공을 더욱 갈고닦고자 절치부심하고   있어서라는 설(?)이...김구라와 함께 욕 아카데미 개설할 생각은 없는지?"
"1837",1837,"tjdnfdp","10/31/2012","NLL은 영토방어의 절대적 선이다/공격 준비 선이 아니다/그런데 영토방어 의지가 없던 노무현은 이를 무너뜨리려 했다/국가원수로서 지켜야 할 국가안위를 내팽개 친 반역이다"
"1838",1838,"type0789","10/31/2012","북한은 우리가 안보위기를 조성하여 대선정국을 보수세력에게 유리하게 돌리려는 북풍 조작기도라고 하면서 호국훈련을 맹비난질이다."
"1839",1839,"type0789","10/31/2012","호국훈련은 지난 1996년부터 매년 해오던 연례 군사훈련으로 북한이 주장하는 것처럼 안보위기를 조성하려는 것도 아니며 대선정국과도 연관이 있는 것이 아니다. 그저 매년 해오던 군사훈련을 올해도 하는 것일뿐이다."
"1840",1840,"xountkim","10/31/2012","북한과 종북세력이 이번에는 호국훈련을 두고 시비를 거는 모양이다. 하지만 우리나라 안전보장을 위해서는 꼭 필요하다. 무사히 잘 마무리되었으면 한다. 금년 호국훈련 장병들... 화이팅!!!"
"1841",1841,"yesstory365","10/31/2012","다행히 김정일 생일 축하를 보낸 종북행동에 대해 대법원이 무죄판결을 파기하고 국보법위반 판결을 했다. 생일 축하편지를 빌미로 .김씨왕조에게 그토록 충성하고싶으면 그런것들은 리북으로 추방하던지 리북으로 강제이민을 보내라.."
"1842",1842,"zmfpfm","10/31/2012","대통령 선거와 동시에 서울의 교육행정을 책임질 교육감 선거도 치뤄지죠. 학교현장의 갈등만 부추긴 곽교육감을 생각한다면 진정으로 학생들을 위한 올바른 교육행정르 펼칠 교육감이 선출되었으면 하네요."
"1843",1843,"2345dong","11/1/2012","비록 사실이 아니지만 '김정남 망명 요청설'에 종북세력이 자신들의 실체가 드러날까봐 전전긍긍하겠지... 김일성 손자도 북한이 싫다는데 종북들만 몰락하는 북한을 떠 받들고 있는 현실이 개탄스럽다..."
"1844",1844,"acacia2000","11/1/2012","대선정국에 우리가 가장 경계해야 할 것은 북핵이 아니라 北 당국과 합작한 좌파의 '남남갈등' 획책임을 단 한순간도 잊지 말자는 말이 눈에 뜨이는군."
"1845",1845,"clickhere88","11/1/2012","종북세력들은 대한민국 법정에서까지 김정일 만세를 외치며 찬양고무죄를 조롱했다. 어제 대법원에서 김정일 생일 축하 이메일을 보낸 사건에 대해 찬양고무죄를 적용했는데 너무도 당연한 판결이다."
"1846",1846,"conduct22","11/1/2012","선진국을 바라보던 자유 대한민국은 北 당국과 종북세력의 깽판으로인해 후진국으로 몰락하지 말라는 법이 없습니다. 국민들은 北의 대선개입을 기필코 막아 줘야 한다고 생각합니다. 북한의 대선개입 절대 절대 허용되서는 안됩니다"
"1847",1847,"harpesang","11/1/2012","곳곳에 포진한 종북의원들의 일거수일투족을 감시하여 국가안보와 국가이익의 민감한 정보들이 불순한 의도를 가진 자들에게 유출되는 것을 막아야할 것입니다. 국회의원의 권한이 막강하기에 이런자들의 입성을 막았야합니다. 뼈아픈 댓를 치룹시다, 그리고 잊지맙시다"
"1848",1848,"harpesang","11/1/2012","왜 안나타나고 어디서 뭐하나 했다. 문제가 있어 민감한 자료를 요구하고서 실제로는 한마디도 없었다니.. 그 자료 어디에 쓰시려는지..드디어 본색을 드러내는 종북의원질 신호탄인가.."
"1849",1849,"hightech14","11/1/2012","김일성의  증손자도 북한내 인권유린에 대해 자기 목소리를 내는데 우리나라 종북들만 나 몰라라 하는 현실을 볼때 '김정남 망명 요청설' 기사에 종북세력이 자신들의 실체가 들통날가 봐 전전긍긍하며 뭐 마려운 강아지꼴일게 눈에 선하다."
"1850",1850,"hokang52","11/1/2012","국내 좌파세력이 북방한계선에 대해 왈가왈부 하자 북한이 좌파 손을 들어주며“‘북방한계선’은 남북이 합의한 해상경계선이 아니고 정전협정에도 없는 비법선으로서 분쟁의 씨앗이 된다”고 떠벌인다, 그래서 종북은 북한으로 가야한다."
"1851",1851,"hokang52","11/1/2012","북한은 북방한계선에 대해 '미제침략군이 정전협정과 배치되게 북한 영해에 멋대로 그어놓은 불법무법의 유령선”이라고 주장한다. 국내 종북들도 똑같이 생각하고 있다는게 큰 문제다."
"1852",1852,"hokang52","11/1/2012","한국과 중국의 국제정치학자들은 한반도 통일이 불가피한 추세이며, 통일이 한국에 의해 주도될 것으로 보고있다, 그런데 아직도 국내 종북주의자들은 정신을 차리지 못하고 있으니..."
"1853",1853,"isowkfahts","11/1/2012","김정남 망명설 돌았을 때 제일 신경 곤두선건 정보당국도, 우파들도 좌파들도 아닌 북한 지시를 직접 받는 종북들이겠지. 김정남이 주석궁에서 주워들은 소리만 모아서 수사해도 부카니스탄에서 돈받는 인간들 이름이 줄줄이 나올테니까. 깜놀  할 만도 하지."
"1854",1854,"jklee1216","11/1/2012","대법원이 김정일 생일축하 편지를 보낸 행위에 대해 '국보법 위반'이라는 판결을 했다. 환영하는 바이다. 종북세력들에 대한 척결이 반드시 필요하다는 상징적인 판결이다"
"1855",1855,"jogisic","11/1/2012","좌파단체 중에 가장 대한민국에 해악을 끼치는 단체가 3개 있는데 그중에 한개가 전교조이다. 전교조는 통일교육이란 미명하에 어린 학생들에게 잘못된 반정부 친북의식을 주입하여 아이들을 사상적 불구로 만들기 때문이다"
"1856",1856,"jogisic","11/1/2012","그 다음으로 문제되는 단체는 바로 민노총 같은 좌익성향 노동단체인데 이 단체는 수십만의 노조원을 거느리고 노동운동 뿐 아니라 정치영역에까지 진출하고 좌파단체의 행동대 또는  역할을 하고 있다"
"1857",1857,"jogisic","11/1/2012","난 우리나라 국회에 어떻게 하다 김광진 같은 쓰레기나 임수경, 이석기, 김재연 같은 주사파가 같은 자들이 들어왔는지 모르겠다. 우리 선거법을 좀 바꿀 필요가 있다. 종북 전력의 사람은 공직 피선거권을 박탈하도록"
"1858",1858,"jogisic","11/1/2012","@###gminy99 북한이 김대중 대통령의 햇볕정채을 역이용하여 우리를 울겨먹을 궁리를 했다는 것을 좌파들은 잘 모르는것 같으어. 그러니까 지금도 무조건 북한에 퍼줄 생각만"
"1859",1859,"jogisic","11/1/2012","종북세력들의 유기적 협조망과 자금 동원 능력이 대단하다할 것이다. 모여라 하면 쫙 모이고 까라하면 까고 돈 내라 하면 십일조 하듯 갖다바치고...이러한 적극성이 어디에서 나오는지...우파들도 좀 보고 배웟으면 좋겠다"
"1860",1860,"jogisic","11/1/2012","양영태 서울글로리아합창단, 천안함 추모음악회가 오늘 저녁에 열렸네요. 한번씩 갔었는데 올해는 못갔네요. 잘 하셨으리라 생각합니다"
"1861",1861,"jogisic","11/1/2012","전교조 다음으로 나쁜 놈들은 범민련이란 조직이다. 이 조직은 북한에 본부를 둔듯한 조직구성에 해외 범민련 등을 통해 수시로 북한과 연락하면서 반미.반정부 선동을 해대는단체다. 말하자면 완전히 이적세력이다. 근데 이런 세력이 아직도 발붇이고 있다"
"1862",1862,"kiminhye0","11/1/2012","내부의 적이라고 할 수 있는 우리사회의 친북,종북세력들은 좌파정권서 급성장 해 권력 중심까지 진출했다. 핵심세력 3만명 추종세력은 50만명이 넘는 것으로 추산되고 있다"
"1863",1863,"kiminhye0","11/1/2012","安 후보의 '개량 햇볕'이 더 불안한 이유: 민주통합당 문재인 후보가 대통령에 당선되면 대북정책은 노무현 시대의 판박이가 될 것이다. 취임 즉시 10·4선언에서 약속한 남북경제협력공동위원회를 가동해 금.."
"1864",1864,"kiminhye0","11/1/2012","종북좌파들에게 되묻는다. 대한민국마저 북한처럼 굶어죽는 나라로 만드는 것이 소원인가. 민노당이나 진보연대, 참여연대 등등, 정당과 사회단체에 스며든 종북 독소들은 우리의 숨통을 끊어놓으려 하고 있다"
"1865",1865,"kiminhye0","11/1/2012","친북종북 세력들은 정부의 대북정책을 비난하기 앞서 북한 핵무장에 대해 국민 들의 눈과 귀를 막고 북한의 핵개발을 도운 책임에 대해 국민 앞에 사죄해야 함이 마땅하다"
"1866",1866,"kiminhye0","11/1/2012","대한민국체제와 헌정질서를 파괴하고 종북에 목숨을 거는 일파들과 결연한 투쟁 에 나서야 한다. 북한 김정일과 노동당에 충성하는 자들을 대한민국 국민으로 인정하고 그들과 함께 살아갈 수는 없다"
"1867",1867,"kyungju777","11/1/2012","빨갱이를 타도 해야한다. 종북당 종북의원이 경찰청 보안형사들의 인적사항을 제출하라고 했단다. 간첩잡는 형사들의 인적사항을 달라는건 무슨의도인가? 북한에 전달할려구? 내년에는 국정원 수사관 인원도 제출하라 할 판 이겠구나? 그래서 종북이 개새끼 들이여"
"1868",1868,"metosoya","11/1/2012","뭐 해프닝인 것으로 확인은 되었지만 오죽했음 김정남 망명설까지 나올 지경이 되었을까요? 글구 조카 김정철인가 하는 놈이 지 삼촌을 비방하기도 하고... 이런 것들을 주군으로 모시는 종북이들은 또 뭐니?"
"1869",1869,"modular2","11/1/2012","해병대 출신이 귀신은 안 잡고 김정일 생일 축하 이메일을 보내다니. 헐~  먼 역사가 아니더라도 1948년 10월 여수순천 군인반란 때를 보아도 부지불식간에 침투한 종북들이 국가 비상시 무슨짓을 할지 뻔하다. 軍장병 대상 종북교육은 반드시 필요!!"
"1870",1870,"nudlenudle","11/1/2012","종북세력이 북한 자극을 내세우며 호국훈련을 반대하는것은 평화를 운운하며 영토주권을 포기하고 우리만 무장해제하자는 논리나 다름없는 거지요.자유는 결코 거저 주어지지 않습니다. 나라의 위상이 높아질수록 온 국민이 더욱더 새겨야 할 진리라고 생각합니다."
"1871",1871,"nudlenudle","11/1/2012","우리 국민들이 北의 대선개입을 허용하면 親수령독재 정권이 설 가능성이 커지고 그렇게 되면 北의 북핵위협과 南의 종북세력 득세로 인해 대한민국은 극심한 準적화 상태를 극복하지 못하게 될 겁니다. 더이상 종북세력의 빨갱이 놀음에 현혹되어서는 안됩니다"
"1872",1872,"nudlenudle","11/1/2012","이제부터라도 양대 빨갱이 운동권의 계열이 추구하는 목표를 확실히 따져보고 이들의 대북정책이 어떠한가를 파악하여 종북 좌빨, 주사파, 빨갱이들을 대한 민국 땅에서 더이상 발 붙이지 못하도록 적절한 대책 수립이 마련돼야 한다고 생각합니다"
